logical_i,logical_j,x,y,real_acc_q16,imag_acc_q16,real,imag,density
0,0,0,0,20339,0,0.3103485107421875,0,0.09631619811989367
1,0,3.225806451612903,0,779,0,0.0118865966796875,0,0.0001412911806255579
2,0,6.4516129032258061,0,7,0,0.0001068115234375,0,1.1408701539039612e-08
3,0,9.67741935483871,0,0,0,0,0,0
4,0,12.903225806451612,0,0,0,0,0,0
5,0,16.129032258064516,0,0,0,0,0,0
6,0,19.35483870967742,0,0,0,0,0,0
7,0,22.580645161290324,0,0,0,0,0,0
8,0,25.806451612903224,0,0,0,0,0,0
9,0,29.032258064516128,0,0,0,0,0,0
10,0,32.258064516129032,0,0,0,0,0,0
11,0,35.483870967741936,0,0,0,0,0,0
12,0,38.70967741935484,0,0,0,0,0,0
13,0,41.935483870967744,0,0,0,0,0,0
14,0,45.161290322580648,0,0,0,0,0,0
15,0,48.387096774193552,0,0,0,0,0,0
16,0,51.612903225806448,0,0,0,0,0,0
17,0,54.838709677419352,0,0,0,0,0,0
18,0,58.064516129032256,0,0,0,0,0,0
19,0,61.29032258064516,0,0,0,0,0,0
20,0,64.516129032258064,0,0,0,0,0,0
21,0,67.741935483870961,0,0,0,0,0,0
22,0,70.967741935483872,0,0,0,0,0,0
23,0,74.193548387096769,0,0,0,0,0,0
24,0,77.41935483870968,0,0,0,0,0,0
25,0,80.645161290322577,0,0,0,0,0,0
26,0,83.870967741935488,0,0,0,0,0,0
27,0,87.096774193548384,0,0,0,0,0,0
28,0,90.322580645161295,0,0,0,0,0,0
29,0,93.548387096774192,0,0,0,0,0,0
30,0,96.774193548387103,0,0,0,0,0,0
31,0,100,0,0,0,0,0,0
0,1,0,3.225806451612903,779,0,0.0118865966796875,0,0.0001412911806255579
1,1,3.225806451612903,3.225806451612903,15,0,0.0002288818359375,0,5.2386894822120667e-08
2,1,6.4516129032258061,3.225806451612903,0,0,0,0,0
3,1,9.67741935483871,3.225806451612903,0,0,0,0,0
4,1,12.903225806451612,3.225806451612903,0,0,0,0,0
5,1,16.129032258064516,3.225806451612903,0,0,0,0,0
6,1,19.35483870967742,3.225806451612903,0,0,0,0,0
7,1,22.580645161290324,3.225806451612903,0,0,0,0,0
8,1,25.806451612903224,3.225806451612903,0,0,0,0,0
9,1,29.032258064516128,3.225806451612903,0,0,0,0,0
10,1,32.258064516129032,3.225806451612903,0,0,0,0,0
11,1,35.483870967741936,3.225806451612903,0,0,0,0,0
12,1,38.70967741935484,3.225806451612903,0,0,0,0,0
13,1,41.935483870967744,3.225806451612903,0,0,0,0,0
14,1,45.161290322580648,3.225806451612903,0,0,0,0,0
15,1,48.387096774193552,3.225806451612903,0,0,0,0,0
16,1,51.612903225806448,3.225806451612903,0,0,0,0,0
17,1,54.838709677419352,3.225806451612903,0,0,0,0,0
18,1,58.064516129032256,3.225806451612903,0,0,0,0,0
19,1,61.29032258064516,3.225806451612903,0,0,0,0,0
20,1,64.516129032258064,3.225806451612903,0,0,0,0,0
21,1,67.741935483870961,3.225806451612903,0,0,0,0,0
22,1,70.967741935483872,3.225806451612903,0,0,0,0,0
23,1,74.193548387096769,3.225806451612903,0,0,0,0,0
24,1,77.41935483870968,3.225806451612903,0,0,0,0,0
25,1,80.645161290322577,3.225806451612903,0,0,0,0,0
26,1,83.870967741935488,3.225806451612903,0,0,0,0,0
27,1,87.096774193548384,3.225806451612903,0,0,0,0,0
28,1,90.322580645161295,3.225806451612903,0,0,0,0,0
29,1,93.548387096774192,3.225806451612903,0,0,0,0,0
30,1,96.774193548387103,3.225806451612903,0,0,0,0,0
31,1,100,3.225806451612903,0,0,0,0,0
0,2,0,6.4516129032258061,7,0,0.0001068115234375,0,1.1408701539039612e-08
1,2,3.225806451612903,6.4516129032258061,0,0,0,0,0
2,2,6.4516129032258061,6.4516129032258061,0,0,0,0,0
3,2,9.67741935483871,6.4516129032258061,0,0,0,0,0
4,2,12.903225806451612,6.4516129032258061,0,0,0,0,0
5,2,16.129032258064516,6.4516129032258061,0,0,0,0,0
6,2,19.35483870967742,6.4516129032258061,0,0,0,0,0
7,2,22.580645161290324,6.4516129032258061,0,0,0,0,0
8,2,25.806451612903224,6.4516129032258061,0,0,0,0,0
9,2,29.032258064516128,6.4516129032258061,0,0,0,0,0
10,2,32.258064516129032,6.4516129032258061,0,0,0,0,0
11,2,35.483870967741936,6.4516129032258061,0,0,0,0,0
12,2,38.70967741935484,6.4516129032258061,0,0,0,0,0
13,2,41.935483870967744,6.4516129032258061,0,0,0,0,0
14,2,45.161290322580648,6.4516129032258061,0,0,0,0,0
15,2,48.387096774193552,6.4516129032258061,0,0,0,0,0
16,2,51.612903225806448,6.4516129032258061,0,0,0,0,0
17,2,54.838709677419352,6.4516129032258061,0,0,0,0,0
18,2,58.064516129032256,6.4516129032258061,0,0,0,0,0
19,2,61.29032258064516,6.4516129032258061,0,0,0,0,0
20,2,64.516129032258064,6.4516129032258061,0,0,0,0,0
21,2,67.741935483870961,6.4516129032258061,0,0,0,0,0
22,2,70.967741935483872,6.4516129032258061,0,0,0,0,0
23,2,74.193548387096769,6.4516129032258061,0,0,0,0,0
24,2,77.41935483870968,6.4516129032258061,0,0,0,0,0
25,2,80.645161290322577,6.4516129032258061,0,0,0,0,0
26,2,83.870967741935488,6.4516129032258061,0,0,0,0,0
27,2,87.096774193548384,6.4516129032258061,0,0,0,0,0
28,2,90.322580645161295,6.4516129032258061,0,0,0,0,0
29,2,93.548387096774192,6.4516129032258061,0,0,0,0,0
30,2,96.774193548387103,6.4516129032258061,0,0,0,0,0
31,2,100,6.4516129032258061,0,0,0,0,0
0,3,0,9.67741935483871,0,0,0,0,0
1,3,3.225806451612903,9.67741935483871,0,0,0,0,0
2,3,6.4516129032258061,9.67741935483871,0,0,0,0,0
3,3,9.67741935483871,9.67741935483871,0,0,0,0,0
4,3,12.903225806451612,9.67741935483871,0,0,0,0,0
5,3,16.129032258064516,9.67741935483871,0,0,0,0,0
6,3,19.35483870967742,9.67741935483871,0,0,0,0,0
7,3,22.580645161290324,9.67741935483871,0,0,0,0,0
8,3,25.806451612903224,9.67741935483871,0,0,0,0,0
9,3,29.032258064516128,9.67741935483871,0,0,0,0,0
10,3,32.258064516129032,9.67741935483871,0,0,0,0,0
11,3,35.483870967741936,9.67741935483871,0,0,0,0,0
12,3,38.70967741935484,9.67741935483871,0,0,0,0,0
13,3,41.935483870967744,9.67741935483871,0,0,0,0,0
14,3,45.161290322580648,9.67741935483871,0,0,0,0,0
15,3,48.387096774193552,9.67741935483871,0,0,0,0,0
16,3,51.612903225806448,9.67741935483871,0,0,0,0,0
17,3,54.838709677419352,9.67741935483871,0,0,0,0,0
18,3,58.064516129032256,9.67741935483871,0,0,0,0,0
19,3,61.29032258064516,9.67741935483871,0,0,0,0,0
20,3,64.516129032258064,9.67741935483871,0,0,0,0,0
21,3,67.741935483870961,9.67741935483871,0,0,0,0,0
22,3,70.967741935483872,9.67741935483871,0,0,0,0,0
23,3,74.193548387096769,9.67741935483871,0,0,0,0,0
24,3,77.41935483870968,9.67741935483871,0,0,0,0,0
25,3,80.645161290322577,9.67741935483871,0,0,0,0,0
26,3,83.870967741935488,9.67741935483871,0,0,0,0,0
27,3,87.096774193548384,9.67741935483871,0,0,0,0,0
28,3,90.322580645161295,9.67741935483871,0,0,0,0,0
29,3,93.548387096774192,9.67741935483871,0,0,0,0,0
30,3,96.774193548387103,9.67741935483871,0,0,0,0,0
31,3,100,9.67741935483871,0,0,0,0,0
0,4,0,12.903225806451612,0,0,0,0,0
1,4,3.225806451612903,12.903225806451612,0,0,0,0,0
2,4,6.4516129032258061,12.903225806451612,0,0,0,0,0
3,4,9.67741935483871,12.903225806451612,0,0,0,0,0
4,4,12.903225806451612,12.903225806451612,0,0,0,0,0
5,4,16.129032258064516,12.903225806451612,0,0,0,0,0
6,4,19.35483870967742,12.903225806451612,0,0,0,0,0
7,4,22.580645161290324,12.903225806451612,0,0,0,0,0
8,4,25.806451612903224,12.903225806451612,0,0,0,0,0
9,4,29.032258064516128,12.903225806451612,0,0,0,0,0
10,4,32.258064516129032,12.903225806451612,0,0,0,0,0
11,4,35.483870967741936,12.903225806451612,0,0,0,0,0
12,4,38.70967741935484,12.903225806451612,0,0,0,0,0
13,4,41.935483870967744,12.903225806451612,0,0,0,0,0
14,4,45.161290322580648,12.903225806451612,0,0,0,0,0
15,4,48.387096774193552,12.903225806451612,0,0,0,0,0
16,4,51.612903225806448,12.903225806451612,0,0,0,0,0
17,4,54.838709677419352,12.903225806451612,0,0,0,0,0
18,4,58.064516129032256,12.903225806451612,0,0,0,0,0
19,4,61.29032258064516,12.903225806451612,0,0,0,0,0
20,4,64.516129032258064,12.903225806451612,0,0,0,0,0
21,4,67.741935483870961,12.903225806451612,0,0,0,0,0
22,4,70.967741935483872,12.903225806451612,0,0,0,0,0
23,4,74.193548387096769,12.903225806451612,0,0,0,0,0
24,4,77.41935483870968,12.903225806451612,0,0,0,0,0
25,4,80.645161290322577,12.903225806451612,0,0,0,0,0
26,4,83.870967741935488,12.903225806451612,0,0,0,0,0
27,4,87.096774193548384,12.903225806451612,0,0,0,0,0
28,4,90.322580645161295,12.903225806451612,0,0,0,0,0
29,4,93.548387096774192,12.903225806451612,0,0,0,0,0
30,4,96.774193548387103,12.903225806451612,0,0,0,0,0
31,4,100,12.903225806451612,0,0,0,0,0
0,5,0,16.129032258064516,0,0,0,0,0
1,5,3.225806451612903,16.129032258064516,0,0,0,0,0
2,5,6.4516129032258061,16.129032258064516,0,0,0,0,0
3,5,9.67741935483871,16.129032258064516,0,0,0,0,0
4,5,12.903225806451612,16.129032258064516,0,0,0,0,0
5,5,16.129032258064516,16.129032258064516,0,0,0,0,0
6,5,19.35483870967742,16.129032258064516,0,0,0,0,0
7,5,22.580645161290324,16.129032258064516,0,0,0,0,0
8,5,25.806451612903224,16.129032258064516,0,0,0,0,0
9,5,29.032258064516128,16.129032258064516,0,0,0,0,0
10,5,32.258064516129032,16.129032258064516,0,0,0,0,0
11,5,35.483870967741936,16.129032258064516,0,0,0,0,0
12,5,38.70967741935484,16.129032258064516,0,0,0,0,0
13,5,41.935483870967744,16.129032258064516,0,0,0,0,0
14,5,45.161290322580648,16.129032258064516,0,0,0,0,0
15,5,48.387096774193552,16.129032258064516,0,0,0,0,0
16,5,51.612903225806448,16.129032258064516,0,0,0,0,0
17,5,54.838709677419352,16.129032258064516,0,0,0,0,0
18,5,58.064516129032256,16.129032258064516,0,0,0,0,0
19,5,61.29032258064516,16.129032258064516,0,0,0,0,0
20,5,64.516129032258064,16.129032258064516,0,0,0,0,0
21,5,67.741935483870961,16.129032258064516,0,0,0,0,0
22,5,70.967741935483872,16.129032258064516,0,0,0,0,0
23,5,74.193548387096769,16.129032258064516,0,0,0,0,0
24,5,77.41935483870968,16.129032258064516,0,0,0,0,0
25,5,80.645161290322577,16.129032258064516,0,0,0,0,0
26,5,83.870967741935488,16.129032258064516,0,0,0,0,0
27,5,87.096774193548384,16.129032258064516,0,0,0,0,0
28,5,90.322580645161295,16.129032258064516,0,0,0,0,0
29,5,93.548387096774192,16.129032258064516,0,0,0,0,0
30,5,96.774193548387103,16.129032258064516,0,0,0,0,0
31,5,100,16.129032258064516,0,0,0,0,0
0,6,0,19.35483870967742,0,0,0,0,0
1,6,3.225806451612903,19.35483870967742,0,0,0,0,0
2,6,6.4516129032258061,19.35483870967742,0,0,0,0,0
3,6,9.67741935483871,19.35483870967742,0,0,0,0,0
4,6,12.903225806451612,19.35483870967742,0,0,0,0,0
5,6,16.129032258064516,19.35483870967742,0,0,0,0,0
6,6,19.35483870967742,19.35483870967742,0,0,0,0,0
7,6,22.580645161290324,19.35483870967742,0,0,0,0,0
8,6,25.806451612903224,19.35483870967742,0,0,0,0,0
9,6,29.032258064516128,19.35483870967742,0,0,0,0,0
10,6,32.258064516129032,19.35483870967742,0,0,0,0,0
11,6,35.483870967741936,19.35483870967742,0,0,0,0,0
12,6,38.70967741935484,19.35483870967742,0,0,0,0,0
13,6,41.935483870967744,19.35483870967742,0,0,0,0,0
14,6,45.161290322580648,19.35483870967742,0,0,0,0,0
15,6,48.387096774193552,19.35483870967742,0,0,0,0,0
16,6,51.612903225806448,19.35483870967742,0,0,0,0,0
17,6,54.838709677419352,19.35483870967742,0,0,0,0,0
18,6,58.064516129032256,19.35483870967742,0,0,0,0,0
19,6,61.29032258064516,19.35483870967742,0,0,0,0,0
20,6,64.516129032258064,19.35483870967742,0,0,0,0,0
21,6,67.741935483870961,19.35483870967742,0,0,0,0,0
22,6,70.967741935483872,19.35483870967742,0,0,0,0,0
23,6,74.193548387096769,19.35483870967742,0,0,0,0,0
24,6,77.41935483870968,19.35483870967742,0,0,0,0,0
25,6,80.645161290322577,19.35483870967742,0,0,0,0,0
26,6,83.870967741935488,19.35483870967742,0,0,0,0,0
27,6,87.096774193548384,19.35483870967742,0,0,0,0,0
28,6,90.322580645161295,19.35483870967742,0,0,0,0,0
29,6,93.548387096774192,19.35483870967742,0,0,0,0,0
30,6,96.774193548387103,19.35483870967742,0,0,0,0,0
31,6,100,19.35483870967742,0,0,0,0,0
0,7,0,22.580645161290324,0,0,0,0,0
1,7,3.225806451612903,22.580645161290324,0,0,0,0,0
2,7,6.4516129032258061,22.580645161290324,0,0,0,0,0
3,7,9.67741935483871,22.580645161290324,0,0,0,0,0
4,7,12.903225806451612,22.580645161290324,0,0,0,0,0
5,7,16.129032258064516,22.580645161290324,0,0,0,0,0
6,7,19.35483870967742,22.580645161290324,0,0,0,0,0
7,7,22.580645161290324,22.580645161290324,0,0,0,0,0
8,7,25.806451612903224,22.580645161290324,0,0,0,0,0
9,7,29.032258064516128,22.580645161290324,0,0,0,0,0
10,7,32.258064516129032,22.580645161290324,0,0,0,0,0
11,7,35.483870967741936,22.580645161290324,0,0,0,0,0
12,7,38.70967741935484,22.580645161290324,0,0,0,0,0
13,7,41.935483870967744,22.580645161290324,0,0,0,0,0
14,7,45.161290322580648,22.580645161290324,0,0,0,0,0
15,7,48.387096774193552,22.580645161290324,0,0,0,0,0
16,7,51.612903225806448,22.580645161290324,0,0,0,0,0
17,7,54.838709677419352,22.580645161290324,0,0,0,0,0
18,7,58.064516129032256,22.580645161290324,0,0,0,0,0
19,7,61.29032258064516,22.580645161290324,0,0,0,0,0
20,7,64.516129032258064,22.580645161290324,0,0,0,0,0
21,7,67.741935483870961,22.580645161290324,0,0,0,0,0
22,7,70.967741935483872,22.580645161290324,0,0,0,0,0
23,7,74.193548387096769,22.580645161290324,0,0,0,0,0
24,7,77.41935483870968,22.580645161290324,0,0,0,0,0
25,7,80.645161290322577,22.580645161290324,0,0,0,0,0
26,7,83.870967741935488,22.580645161290324,0,0,0,0,0
27,7,87.096774193548384,22.580645161290324,0,0,0,0,0
28,7,90.322580645161295,22.580645161290324,0,0,0,0,0
29,7,93.548387096774192,22.580645161290324,0,0,0,0,0
30,7,96.774193548387103,22.580645161290324,0,0,0,0,0
31,7,100,22.580645161290324,0,0,0,0,0
0,8,0,25.806451612903224,0,0,0,0,0
1,8,3.225806451612903,25.806451612903224,0,0,0,0,0
2,8,6.4516129032258061,25.806451612903224,0,0,0,0,0
3,8,9.67741935483871,25.806451612903224,0,0,0,0,0
4,8,12.903225806451612,25.806451612903224,0,0,0,0,0
5,8,16.129032258064516,25.806451612903224,0,0,0,0,0
6,8,19.35483870967742,25.806451612903224,0,0,0,0,0
7,8,22.580645161290324,25.806451612903224,0,0,0,0,0
8,8,25.806451612903224,25.806451612903224,0,0,0,0,0
9,8,29.032258064516128,25.806451612903224,0,0,0,0,0
10,8,32.258064516129032,25.806451612903224,0,0,0,0,0
11,8,35.483870967741936,25.806451612903224,0,0,0,0,0
12,8,38.70967741935484,25.806451612903224,0,0,0,0,0
13,8,41.935483870967744,25.806451612903224,0,0,0,0,0
14,8,45.161290322580648,25.806451612903224,0,0,0,0,0
15,8,48.387096774193552,25.806451612903224,0,0,0,0,0
16,8,51.612903225806448,25.806451612903224,0,0,0,0,0
17,8,54.838709677419352,25.806451612903224,0,0,0,0,0
18,8,58.064516129032256,25.806451612903224,0,0,0,0,0
19,8,61.29032258064516,25.806451612903224,0,0,0,0,0
20,8,64.516129032258064,25.806451612903224,0,0,0,0,0
21,8,67.741935483870961,25.806451612903224,0,0,0,0,0
22,8,70.967741935483872,25.806451612903224,0,0,0,0,0
23,8,74.193548387096769,25.806451612903224,0,0,0,0,0
24,8,77.41935483870968,25.806451612903224,0,0,0,0,0
25,8,80.645161290322577,25.806451612903224,0,0,0,0,0
26,8,83.870967741935488,25.806451612903224,0,0,0,0,0
27,8,87.096774193548384,25.806451612903224,0,0,0,0,0
28,8,90.322580645161295,25.806451612903224,0,0,0,0,0
29,8,93.548387096774192,25.806451612903224,0,0,0,0,0
30,8,96.774193548387103,25.806451612903224,0,0,0,0,0
31,8,100,25.806451612903224,0,0,0,0,0
0,9,0,29.032258064516128,0,0,0,0,0
1,9,3.225806451612903,29.032258064516128,0,0,0,0,0
2,9,6.4516129032258061,29.032258064516128,0,0,0,0,0
3,9,9.67741935483871,29.032258064516128,0,0,0,0,0
4,9,12.903225806451612,29.032258064516128,0,0,0,0,0
5,9,16.129032258064516,29.032258064516128,0,0,0,0,0
6,9,19.35483870967742,29.032258064516128,0,0,0,0,0
7,9,22.580645161290324,29.032258064516128,0,0,0,0,0
8,9,25.806451612903224,29.032258064516128,0,0,0,0,0
9,9,29.032258064516128,29.032258064516128,0,0,0,0,0
10,9,32.258064516129032,29.032258064516128,0,0,0,0,0
11,9,35.483870967741936,29.032258064516128,0,0,0,0,0
12,9,38.70967741935484,29.032258064516128,0,0,0,0,0
13,9,41.935483870967744,29.032258064516128,0,0,0,0,0
14,9,45.161290322580648,29.032258064516128,0,0,0,0,0
15,9,48.387096774193552,29.032258064516128,0,0,0,0,0
16,9,51.612903225806448,29.032258064516128,0,0,0,0,0
17,9,54.838709677419352,29.032258064516128,0,0,0,0,0
18,9,58.064516129032256,29.032258064516128,0,0,0,0,0
19,9,61.29032258064516,29.032258064516128,0,0,0,0,0
20,9,64.516129032258064,29.032258064516128,0,0,0,0,0
21,9,67.741935483870961,29.032258064516128,0,0,0,0,0
22,9,70.967741935483872,29.032258064516128,0,0,0,0,0
23,9,74.193548387096769,29.032258064516128,0,0,0,0,0
24,9,77.41935483870968,29.032258064516128,0,0,0,0,0
25,9,80.645161290322577,29.032258064516128,0,0,0,0,0
26,9,83.870967741935488,29.032258064516128,0,0,0,0,0
27,9,87.096774193548384,29.032258064516128,0,0,0,0,0
28,9,90.322580645161295,29.032258064516128,0,0,0,0,0
29,9,93.548387096774192,29.032258064516128,0,0,0,0,0
30,9,96.774193548387103,29.032258064516128,0,0,0,0,0
31,9,100,29.032258064516128,0,0,0,0,0
0,10,0,32.258064516129032,0,0,0,0,0
1,10,3.225806451612903,32.258064516129032,0,0,0,0,0
2,10,6.4516129032258061,32.258064516129032,0,0,0,0,0
3,10,9.67741935483871,32.258064516129032,0,0,0,0,0
4,10,12.903225806451612,32.258064516129032,0,0,0,0,0
5,10,16.129032258064516,32.258064516129032,0,0,0,0,0
6,10,19.35483870967742,32.258064516129032,0,0,0,0,0
7,10,22.580645161290324,32.258064516129032,0,0,0,0,0
8,10,25.806451612903224,32.258064516129032,0,0,0,0,0
9,10,29.032258064516128,32.258064516129032,0,0,0,0,0
10,10,32.258064516129032,32.258064516129032,0,0,0,0,0
11,10,35.483870967741936,32.258064516129032,0,0,0,0,0
12,10,38.70967741935484,32.258064516129032,0,0,0,0,0
13,10,41.935483870967744,32.258064516129032,0,0,0,0,0
14,10,45.161290322580648,32.258064516129032,0,0,0,0,0
15,10,48.387096774193552,32.258064516129032,0,0,0,0,0
16,10,51.612903225806448,32.258064516129032,0,0,0,0,0
17,10,54.838709677419352,32.258064516129032,0,0,0,0,0
18,10,58.064516129032256,32.258064516129032,0,0,0,0,0
19,10,61.29032258064516,32.258064516129032,0,0,0,0,0
20,10,64.516129032258064,32.258064516129032,0,0,0,0,0
21,10,67.741935483870961,32.258064516129032,0,0,0,0,0
22,10,70.967741935483872,32.258064516129032,0,0,0,0,0
23,10,74.193548387096769,32.258064516129032,0,0,0,0,0
24,10,77.41935483870968,32.258064516129032,0,0,0,0,0
25,10,80.645161290322577,32.258064516129032,0,0,0,0,0
